Species,Type,Dead Code,X,Y,Diam10,Height,dead,DBH,SnagDecayClass
PISY,Sapling,Alive,30.5806,64.7231,12.3365,5.69153,0,6.67308,NA
PISY,Sapling,Alive,30.3552,69.7304,13.2768,5.97609,0,7.1874,NA
PISY,Adult,Alive,29.0881,69.7884,NA,6.24157,0,7.678,0
PISY,Adult,Alive,26.715,70.2141,NA,6.69328,0,8.53794,0
PISY,Adult,Alive,25.6953,64.0785,NA,6.78044,0,8.7077,0
PISY,Adult,Alive,24.916,70.4422,NA,6.8701,0,8.88365,0
PISY,Adult,Alive,25.819,67.7341,NA,7.15354,0,9.44905,0
PISY,Adult,Alive,31.3239,69.7933,NA,8.99085,0,13.5016,0
PISY,Adult,Alive,30.5658,65.3094,NA,11.6107,0,20.9201,0
PISY,Adult,Alive,30.1855,69.9679,NA,12.2346,0,23.1128,0
PISY,Adult,Alive,28.1496,68.6322,NA,12.8384,0,25.458,0
PISY,Adult,Alive,27.4635,67.2993,NA,12.9454,0,25.9001,0
PISY,Sapling,Alive,27.4042,72.1503,5.33342,3.35632,0,2.84238,NA
PISY,Sapling,Alive,24.5909,72.8417,8.73892,4.54118,0,4.70519,NA
PISY,Adult,Alive,30.8821,77.7582,NA,6.2448,0,7.68404,0
PISY,Adult,Alive,29.3561,77.1094,NA,6.72671,0,8.60291,0
PISY,Adult,Alive,24.1407,75.8668,NA,6.73968,0,8.62816,0
PISY,Adult,Alive,29.8493,73.6185,NA,6.80702,0,8.75972,0
PISY,Adult,Alive,25.6053,75.9101,NA,6.89783,0,8.93834,0
PISY,Adult,Alive,28.0548,77.8987,NA,6.93053,0,9.00302,0
PISY,Adult,Alive,31.4136,74.0197,NA,6.97754,0,9.09631,0
PISY,Adult,Alive,30.7313,77.9586,NA,7.28092,0,9.70781,0
PISY,Adult,Alive,27.1369,75.3642,NA,7.5205,0,10.2026,0
PISY,Adult,Alive,24.9265,79.043,NA,7.58367,0,10.3349,0
PISY,Adult,Alive,25.0184,74.3004,NA,7.77244,0,10.7349,0
PISY,Adult,Alive,24.7664,72.3242,NA,8.65122,0,12.6959,0
